_Annual_J-D_1988_____________ L-OTI(^S^o^N^C) Anomaly vs 1951-1980              
   i   j     lon     lat    array(i,j)
  19   3 -143.00  -85.00        1.2049
  20   3 -141.00  -85.00        1.2049
  21   3 -139.00  -85.00        1.2049
  22   3 -137.00  -85.00        1.2049
  23   3 -135.00  -85.00        1.2049
  24   3 -133.00  -85.00        1.2049
  25   3 -131.00  -85.00        1.2049
  26   3 -129.00  -85.00        1.2049
  27   3 -127.00  -85.00        1.2049
  28   3 -125.00  -85.00        1.2049
  29   3 -123.00  -85.00        1.2049
  30   3 -121.00  -85.00        1.2049
  31   3 -119.00  -85.00        1.2049
  32   3 -117.00  -85.00        1.2049
  33   3 -115.00  -85.00        1.2049
  34   3 -113.00  -85.00        1.2049
  35   3 -111.00  -85.00        1.2049
  36   3 -109.00  -85.00        1.2049
  37   3 -107.00  -85.00        1.2049
  38   3 -105.00  -85.00        1.2049
  39   3 -103.00  -85.00        1.2049
  40   3 -101.00  -85.00        1.2049
  41   3  -99.00  -85.00        1.2049
  42   3  -97.00  -85.00        1.2049
  43   3  -95.00  -85.00        1.2049
  44   3  -93.00  -85.00        1.2049
  45   3  -91.00  -85.00        1.2049
  46   3  -89.00  -85.00        1.2049
  47   3  -87.00  -85.00        1.2049
  48   3  -85.00  -85.00        1.2049
  49   3  -83.00  -85.00        1.2049
  50   3  -81.00  -85.00        1.2049
  51   3  -79.00  -85.00        1.2049
  52   3  -77.00  -85.00        1.2049
  53   3  -75.00  -85.00        1.2049
  54   3  -73.00  -85.00        1.2049
  55   3  -71.00  -85.00        1.2049
  56   3  -69.00  -85.00        1.2049
  57   3  -67.00  -85.00        1.2049
  58   3  -65.00  -85.00        1.2049
  59   3  -63.00  -85.00        1.2049
  60   3  -61.00  -85.00        1.2049
  61   3  -59.00  -85.00        1.2049
  62   3  -57.00  -85.00        1.2049
  63   3  -55.00  -85.00        1.2049
  64   3  -53.00  -85.00        1.2049
  65   3  -51.00  -85.00        1.2049
  66   3  -49.00  -85.00        1.2049
  67   3  -47.00  -85.00        1.2049
  68   3  -45.00  -85.00        1.2049
  69   3  -43.00  -85.00        1.2049
  70   3  -41.00  -85.00        1.2049
  71   3  -39.00  -85.00        1.2049
  72   3  -37.00  -85.00        1.2049
  73   3  -35.00  -85.00        1.2049
  74   3  -33.00  -85.00        1.2049
  75   3  -31.00  -85.00        1.2049
  76   3  -29.00  -85.00        1.2049
  77   3  -27.00  -85.00        1.2049
  78   3  -25.00  -85.00        1.2049
  79   3  -23.00  -85.00        1.2049
  80   3  -21.00  -85.00        1.2049
  81   3  -19.00  -85.00        1.2049
  82   3  -17.00  -85.00        1.2049
  83   3  -15.00  -85.00        1.2049
  84   3  -13.00  -85.00        1.2049
  85   3  -11.00  -85.00        1.2049
  86   3   -9.00  -85.00        1.2049
  87   3   -7.00  -85.00        1.2049
  88   3   -5.00  -85.00        1.2049
  89   3   -3.00  -85.00        1.2049
  90   3   -1.00  -85.00        1.2049
  91   3    1.00  -85.00        1.2049
  92   3    3.00  -85.00        1.2049
  93   3    5.00  -85.00        1.2049
  94   3    7.00  -85.00        1.2049
  95   3    9.00  -85.00        1.2049
  96   3   11.00  -85.00        1.2049
  97   3   13.00  -85.00        1.2049
  98   3   15.00  -85.00        1.2049
  99   3   17.00  -85.00        1.2049
 100   3   19.00  -85.00        1.2049
 101   3   21.00  -85.00        1.2049
 102   3   23.00  -85.00        1.2049
 103   3   25.00  -85.00        1.2049
 104   3   27.00  -85.00        1.2049
 105   3   29.00  -85.00        1.2049
 106   3   31.00  -85.00        1.2049
 107   3   33.00  -85.00        1.2049
 108   3   35.00  -85.00        1.2049
 109   3   37.00  -85.00        1.2049
 110   3   39.00  -85.00        1.2049
 111   3   41.00  -85.00        1.2049
 112   3   43.00  -85.00        1.2049
 113   3   45.00  -85.00        1.2049
 114   3   47.00  -85.00        1.2049
 115   3   49.00  -85.00        1.2049
 116   3   51.00  -85.00        1.2049
 117   3   53.00  -85.00        1.2049
 118   3   55.00  -85.00        1.2049
 119   3   57.00  -85.00        1.2049
 120   3   59.00  -85.00        1.2049
 121   3   61.00  -85.00        1.2049
 122   3   63.00  -85.00        1.2049
 123   3   65.00  -85.00        1.2049
 124   3   67.00  -85.00        1.2049
 125   3   69.00  -85.00        1.2049
 126   3   71.00  -85.00        1.2049
 127   3   73.00  -85.00        1.2049
 128   3   75.00  -85.00        1.2049
 129   3   77.00  -85.00        1.2049
 130   3   79.00  -85.00        1.2049
 131   3   81.00  -85.00        1.2049
 132   3   83.00  -85.00        1.2049
 133   3   85.00  -85.00        1.2049
 134   3   87.00  -85.00        1.2049
 135   3   89.00  -85.00        1.2049
 136   3   91.00  -85.00        1.2049
 137   3   93.00  -85.00        1.2049
 138   3   95.00  -85.00        1.2049
 139   3   97.00  -85.00        1.2049
 140   3   99.00  -85.00        1.2049
 141   3  101.00  -85.00        1.2049
 142   3  103.00  -85.00        1.2049
 143   3  105.00  -85.00        1.2049
 144   3  107.00  -85.00        1.2049
 145   3  109.00  -85.00        1.2049
 146   3  111.00  -85.00        1.2049
 147   3  113.00  -85.00        1.2049
 148   3  115.00  -85.00        1.2049
 149   3  117.00  -85.00        1.2049
 150   3  119.00  -85.00        1.2049
 151   3  121.00  -85.00        1.2049
 152   3  123.00  -85.00        1.2049
 153   3  125.00  -85.00        1.2049
 154   3  127.00  -85.00        1.2049
 155   3  129.00  -85.00        1.2049
 156   3  131.00  -85.00        1.2049
 157   3  133.00  -85.00        1.2049
 158   3  135.00  -85.00        1.2049
 159   3  137.00  -85.00        1.2049
 160   3  139.00  -85.00        1.2049
 161   3  141.00  -85.00        1.2049
 162   3  143.00  -85.00        1.2049
 163   3  145.00  -85.00        1.2049
 164   3  147.00  -85.00        1.2049
 165   3  149.00  -85.00        1.2049
 166   3  151.00  -85.00        1.2049
 167   3  153.00  -85.00        1.2049
 168   3  155.00  -85.00        1.2049
 169   3  157.00  -85.00        1.2049
 170   3  159.00  -85.00        1.2049
 171   3  161.00  -85.00        1.2049
 172   3  163.00  -85.00        1.2049
 173   3  165.00  -85.00        1.2049
 174   3  167.00  -85.00        1.2049
 175   3  169.00  -85.00        1.2049
 176   3  171.00  -85.00        1.2049
 177   3  173.00  -85.00        1.2049
 178   3  175.00  -85.00        1.2049
 179   3  177.00  -85.00        1.2049
 180   3  179.00  -85.00        1.2049
   1   4 -179.00  -83.00        1.2049
   2   4 -177.00  -83.00        1.2049
   3   4 -175.00  -83.00        1.2049
   4   4 -173.00  -83.00        1.2049
   5   4 -171.00  -83.00        1.2049
   6   4 -169.00  -83.00        1.2049
   7   4 -167.00  -83.00        1.2049
   8   4 -165.00  -83.00        1.2049
   9   4 -163.00  -83.00        1.2049
  10   4 -161.00  -83.00        1.2049
  11   4 -159.00  -83.00        1.2049
  12   4 -157.00  -83.00        1.2049
  13   4 -155.00  -83.00        1.2049
  14   4 -153.00  -83.00        1.2049
  15   4 -151.00  -83.00        1.2049
  16   4 -149.00  -83.00        1.2049
  17   4 -147.00  -83.00        1.2049
  18   4 -145.00  -83.00        1.2049
